"description","format rule"
"any integer or decimal number, may begin with + or -","^[-+]?\\d*\\.?\\d+$"
"any positive integer or decimal number","^(0|[1-9]\d*)(\.\d+)?$"
"decimal numbers between 0 and 1, inclusive","^(0?(\\.\\d+)?|1(\\.0+)?)$"
"positive integers","^[0-9]*[1-9][0-9]*$"
"any integer","^-?[0-9]+$"
"any number between 0 and 100, inclusive","^(100(\\.0+)?|0*([1-9]?\\d(\\.\\d+)?)|0)$"
